action,block_time,blockchain,gas_usd,token_in_address,token_in_amount,token_in_symbol,token_out_address,token_out_amount,token_out_symbol,trade_value_usd,tx_hash
deposit,2025-08-26 15:17:35.000 UTC,ethereum,0.3290050963236895,0x0000000000000000000000000000000000000000,0.00314,ETH,,,,14.067256016724725,0xf4bc9f27926535c0c4a47c108a6a4d03c75991c072ed5f43685a870c9df68d84
deposit,2025-08-24 19:59:11.000 UTC,ethereum,0.3019432962587414,0x0000000000000000000000000000000000000000,0.001,ETH,,,,4.792750734265736,0x500839672aee63a5934bb5d23bbd6dc90eb58a09119627447ce24e9677c395af
deposit,2025-08-24 19:58:11.000 UTC,ethereum,0.23918480082606614,0x0000000000000000000000000000000000000000,0.001,ETH,,,,4.792750734265736,0x5bb097e0532fbb17cd917ae34e610207395fb006cd727234ee1a7d6dd475b126
deposit,2025-08-23 17:06:23.000 UTC,ethereum,0.07607385427048677,0x0000000000000000000000000000000000000000,0.003429657924731005,ETH,,,,16.25310537502657,0x33bf0e5cf47f67ad72b80ff356390da3d70dfa82c687095d6813c5b1d66e486b
withdrawal,2025-08-23 10:51:11.000 UTC,ethereum,0.12336454337601173,,,,0x0000000000000000000000000000000000000000,0.01,ETH,47.38987307692308,0xfb13a52a45995d81cceaf8f663ec36fe067dc3b6bf9fa624c9f6b4ee6dca77a8
deposit,2025-08-16 21:16:25.000 UTC,base,0.00011992606796274816,0x0000000000000000000000000000000000000000,0.001,ETH,,,,4.430562097902095,0xda55f78fe2c995852cde68da18c26ad3ff57ed2847075409af51d852e0c1fc42
deposit,2025-08-16 21:00:59.000 UTC,base,0.00012434124773388054,0x0000000000000000000000000000000000000000,0.0005,ETH,,,,2.2152810489510477,0x6abfdf6c46af694b7b08c4df4ea65362fc000374d350f02c77166e75ce166d66
deposit,2025-08-08 09:50:11.000 UTC,ethereum,0.030385457501445442,0x0000000000000000000000000000000000000000,0.005,ETH,,,,19.748024305555543,0xaec4663fc057f0735ad1bb2cd02e35bba09ce70ff95cc8df4d7261c0bd3c9ac0
